a foot, afoot,'’
a God's name,'’, in God's name
a laske, '', diarrhea
a-making,'’,'’
abhominable, abominable,'’
abhomination, abomination,'’
abhorre, abhor,'’
abjects,'’,'’
aboundance, abundance,'’
aboundantly, abundantly,'’
Abroea,'’,'’
absit, '', [latin]
abstaine, abstain,'’
ac, '', [latin]
accesse, access,'’
accompt,'’,'’
accompted,'’,'’
accustome, accustom,'’
accustometh,'’,'’
acervatim, '', [latin]
Achaia, Achaea,'’
Acheron,'’,'’
acrosse, across,'’
Actaeon, Acteon,'’
Acteon,'’,'’
Actium,'’,'’
ad, '', [latin]
adhuc, '', [latin]
adicted, addicted,'’
adjoyning, adjoyning,'’
Adlington,'’,'’
Adlington's,'’,'’
administred, administered,'’
adoe, ado,'’
Adonis,'’,'’
advise, advice,'’
Aegyptians, Egyptians,'’
Aesop,'’,'’
Aethiopians, Ethiopians,'’
afarre, afar,'’
affirme, affirm,'’
affirmeth,'’,'’
Africa,'’,'’
African,'’,'’
Africke, Africa,'’
againe, again,'’
Ageum, Aegeum,'’
aggeratim, '', [latin]
agminatim, '', [latin]
aire, air,'’
Ajax,'’,'’
ake, ache,'’
aked, ached,'’
alasse, alas,'’
Alcinus, Alcinous,'’
Alexander,'’,'’
alioquin, '', [latin]
alleadged, alleged,'’
almes, alms,'’
alotted, allotted,'’
Althea, Althaea, mythic queen
altior, '', [latin]
altiora, '', [latin]
alwaies, always,'’
alwayes, always,'’
amased, amazed,'’
America,'’,'’
amicula, '', [latin]
amores, '', [latin]
Anacharsis,'’,'’
angell, angel,'’
animall, animal,'’
anno, '', [latin]
annoint, anoint,'’
annointed, anointed,'’
Annubis, Anubis,'’
answere, answer,'’
Antictons,'’,'’
antient, ancient,'’
antients, ancients,'’
apaid,'’, satisfied
apayed,'’,'’
Apelious, Apuleius,'’
Apollo,'’,'’
apparell, apparel,'’
appeare, appear,'’
appeareth,'’,'’
appeasest,'’,'’
Appolonius, '', [character]
appoynted, appointed,'’
approched, approached,'’
aproched, approached,'’
Apuleian,'’,'’
apuleii, '', [latin]
Apuleius,'’,'’
apuleius, '', [german]
apuleius, '', [latin]
Arabia,'’,'’
Arabian,'’,'’
arayed, arrayed,'’
Arcadia,'’,'’
Archadia, Arcadia,'’
Argus,'’, mythical
Arion,'’,'’
ariseth,'’,'’
Aristomenes,'’,'’
Aristomenus, Aristomenes,'’
Aristotle, '', philosopher
Aristotles, Aristotle's,'’
Arisuatus,'’,'’
arived, arrived,'’
Arlington's,'’,'’
arme, arm,'’
armes, arms,'’
arrowes, arrows,'’
artibus, '', [latin]
Asclepius, '',god of medicine
Asia,'’,'’
asinall,'’,'’
Asinius,'’,'’
asino, '', [latin]
asinum, '', [latin]
askd, asked,'’
aske, ask,'’
asleepe, asleep,'’
aspis,'’, venomous snake
aspishly,'’, snakelike
ass, '', [latin]
assaile, assail,'’
assayle, assail,'’
asse, ass,'’
assie,'’,'’
assmbly, assembly,'’
asswage, assuage,'’
assy, assie,'’
Assyria,'’,'’
Assyrian,'’,'’
astonied,'’,'’
astonyed, astounded,'’
atcheived, achieved,'’
atchieved, achieved,'’
Athenian,'’,'’
Athenians,'’,'’
Athens,'’,'’
atque, '', [latin]
Atreus,'’,'’
attaine, attain,'’
attentiv, attentive,'’
attinere, '', [latin]
attyred, attired,'’
aucun, '', [latin]
audierit, '', [latin]
Augustine,'’,'’
auncestry, ancestry,'’
auntients, ancients,'’
aurora, '', [latin]
authoritys, authorities,'’
autobioggraphy, autobiography,'’
availe, avail,'’
avec, '', [french]
Avitus,'’,'’
avoyd, avoid,'’
ayd, aid,'’
ayde, aid,'’
