Actaeon, Acteon
Aegyptians, Egyptians
Aethiopians, Ethiopians
Africke, Africa
Ageum, Agean
Alcinus, Alcinous
Annubis, Anubis
Archadia, Arcadia
Aristomenus, Aristomenes
Aristotles, Aristotle's
Bellerophon, Bellephoron
Calipso, Calypso
Cesar, Caesar
Charite, Charites
Egypptian, Egyptian
Ephire, Epirus
Esculapius, Asclepius
Ganimedes, Ganimede
Gerion, Geryon
Grecia, Greece
Grecians, Greeks
Hecades, Hecate
Hiperborian, Hyperborian
Hyppodame, Hippodamia
Macedonie, Macedonia
Macedony, Macedonia
Mercurie, Mercury
Mercurius, Mercury
Miloes, Miloe's
Mydas, Midas
Nabuchadnezzar, Nebuchadnezzar
Perithous, Pirithous
Plinie, Pliny
Pollus, Pollux
Romane, Roman
Satirus, Satyrus
Sicilie, Sicily
Stix, Styx
Tryton, Triton
Ulisses, Ulysses
Vlysses, Ulysses
Vulcanus, Vulcan
