Abroea, ''
Achaia, Achaea
Acheron, ''
Actaeon, Acteon
Acteon, ''
Actium, ''
Adlington, ''
Adlington’s, ''
Adonis, ''
Aegyptians, Egyptians
Aesop, ''
Aethiopians, Ethiopians
Africa, ''
African, ''
Africke, Africa
Ageum, Aegeum
Ajax, ''
Alcinus, Alcinous
Alexander, '???'
Althea, '???'
America, ''
Anacharsis, ''
Annubis, Anubis
Antictons, ''
Apollo, ''
Appolonius, '???'
Apuleian, ''
Apuleii', '???'
Apuleius, ''
Arabia, ''
Arabian, ''
Arcadia, ''
Archadia, Arcadia
Argus, '', hundred-eyed mythical being
Arion, ''
Aristomenes, ''
Aristomenus, Aristomenes
Aristotle, '???'
Aristotles, Aristotle's
Arisuatus, ''
Arlington’s, ''
Asclepius, '???'
Asia, ''
Asinius, ''
Assyria, ''
Assyrian, ''
Athenian, ''
Athenians, ''
Athens, ''
Atreus, ''
Augustine, ''
Avitus, ''
Babulus, ''
Babylon, ''
Bacchus, ''
Bactrian, ''
Balzac, ''
Barbarus, ''
Barnaby, ''
Baudelaire, ''
Bellephoron, ''
Bellerophon, Bellephoron
Bellona, ''
Bernard, ''
Beroaldi, '???'
Boccaccio, ''
Boetia, ''
Boetian, ''
Boetius, ''
Bouthiere, ''
Britunis, ''
Burnell, ''
Byrrhena, ''
Caesar, '???'
Calipso, Calypso
Calypso, '???'
Campensis, '', 'roman temple to isis'
Candians, ''
Candidus, ''
Cappadocia, ''
Carthage, ''
Carthaginians, ''
Cerberus, ''
Ceres, ''
Cesar, Caesar
Charite, Charites
Charites, ''
Charles, ''
Charon, ''
Chimera, ''
Chriseros, ''
Christ, ''
Cicero, ''
Circe, ''
Cl, '', 'name abbreviation. Claudius?'
Claudius, ''
Cocytus, ''
Copton, ''
Corinth, ''
Cornelia, ''
Creon, ''
Cupid, ''
Custome, ''
Cythera, ''
Daniel, ''
Daphne, ''
Decamerone, ''
December, ''
Demeas, ''
Demochares, ''
Diana, ''
Diophanes, ''
Dr, ''
Egin, ''
Egremont, ''
Egypptian, Egyptian
Egyptian, '???'
Egyptians, '???'
Eleusians, ''
Elizabethan, ''
England, ''
English, ''
Englishman, ''
Epheseus, '???'
Ephesus, ''
Ephire, Epirus
Esculapius, Asclepius
Eteocles, ''
Ethiopians, ''
Etolia, ''
Euboea, ''
Europa, ''
Faustinus, ''
Fitzwalter, ''
Floridorum, ''
Fotis, ''
France, ''
French, ''
Frenchman, ''
Frenchman’s, ''
Fronto, ''
Ganimedes, Ganimede
Gemini, ''
George, ''
Georges, ''
Gerion, Geryon
Getulia, ''
Getulian, ''
Goudy, ''
Grecia, Greece
Grecian, ''
Grecians, 'Greeks??'
Greece, ''
Greek, ''
Greeks, ''
Guillaume, ''
Gutenberg, ''
Gyndos, ''
Heaven, '???'
Hecades, Hecate
Hecate, ''
Hell, ''
Hemes, '???'
Hemus, ''
Henry, ''
Hercules, ''
Hermagoras, ''
Herodotus, ''
Heywood, ''
Hipata, ''
Hipate, ''
Hiperborian, Hyperborian
Hipparchus, ''
Hippata, ''
Hipponoe, '???'
Holland, ''
Homer, ''
Hymeneus, ''
Hymettus, ''
Hypata, '???'
Hyppanius, '???'
Hyppodame, Hippodamia
Icarus, ''
Idea, ''
Ihones, ''
Inachus, ''
Indian, ''
Indians, ''
Iolianus, ''
Ionia, ''
Iphigenia, ''
Isis, ''
Isthmia, ''
Italy, ''
Jacques, ''
January, ''
Johnson, ''
Jove, ''
Julia, ''
July, ''
Juno, ''
Jupiter, ''
Lacedemon, ''
Lamathus, ''
Lapithes, '???'
Larissa, ''
Latin, ''
Latine, ''
Lepolemus, ''
