a laske, diarrhoea
a-making, being made
accompt, account
accompted, accounted
apayed, satisfied
astonyed, astounded
bandogges, dogs
bepissed, pissed on
bespred, spread
choller, bile
cloutes, cloths
counterpoyson, antidote
dastard-like, dastardly
dastardnesse, dastardliness
dissimuling, dissembling
eftsoone, presently
eftsoones, presently
elderman, alderman
excusation, excuse
leese, lose
maisters, masters
masties, mastffs
miserablest, most miserable
sparsed, dispersed
uncurtesie, discourtesy
unlusty, listless
utricide, uxoricide
welfavouredly, favorably
wesel, donkey
